UserID 78, TagginSession 9, STD 3.08320820567, mean 2.77777777778,
UserID 133, TagginSession 407, STD 4.91525659734, mean 4.04914004914,
UserID 181, TagginSession 4, STD 6.06217782649, mean 6.5,
UserID 476, TagginSession 2, STD 16.5, mean 17.5,
UserID 615, TagginSession 5, STD 27.0155510771, mean 27.4,
UserID 626, TagginSession 3, STD 6.34209919681, mean 7.33333333333,
UserID 760, TagginSession 2, STD 2.5, mean 3.5,
UserID 783, TagginSession 3, STD 2.82842712475, mean 17.0,
UserID 937, TagginSession 3, STD 28.6627904356, mean 25.6666666667,
UserID 1081, TagginSession 3, STD 44.3045019032, mean 38.6666666667,
UserID 1160, TagginSession 2, STD 3.0, mean 4.0,
UserID 1496, TagginSession 2, STD 3.0, mean 4.0,
UserID 1622, TagginSession 17, STD 4.56024645725, mean 2.70588235294,
UserID 1728, TagginSession 8, STD 45.2698506183, mean 35.125,
UserID 1778, TagginSession 7, STD 2.3211538299, mean 2.57142857143,
UserID 2455, TagginSession 11, STD 23.6772373863, mean 14.4545454545,
UserID 2639, TagginSession 69, STD 3.88449056644, mean 3.20289855072,
UserID 2853, TagginSession 8, STD 14.7006589988, mean 16.125,
UserID 3057, TagginSession 12, STD 18.6696426199, mean 19.6666666667,
UserID 3271, TagginSession 2, STD 10.0, mean 11.0,
UserID 3301, TagginSession 6, STD 7.01585505995, mean 8.33333333333,
UserID 3386, TagginSession 2, STD 20.0, mean 22.0,
UserID 3489, TagginSession 4, STD 2.06155281281, mean 2.5,
UserID 3622, TagginSession 2, STD 2.5, mean 3.5,
UserID 3825, TagginSession 2, STD 15.0, mean 17.0,
UserID 3948, TagginSession 51, STD 3.73775072324, mean 3.56862745098,
UserID 4011, TagginSession 14, STD 3.8703477669, mean 2.85714285714,
UserID 4335, TagginSession 7, STD 14.8681278072, mean 24.2857142857,
UserID 4397, TagginSession 6, STD 10.2415276638, mean 6.33333333333,
UserID 4682, TagginSession 6, STD 34.527364349, mean 20.1666666667,
UserID 4697, TagginSession 3, STD 3.29983164554, mean 5.33333333333,
UserID 4728, TagginSession 8, STD 13.8901943831, mean 6.25,
UserID 4800, TagginSession 5, STD 3.68781778292, mean 4.0,
UserID 4913, TagginSession 4, STD 2.34520787991, mean 3.0,
UserID 4998, TagginSession 7, STD 26.2102955313, mean 14.1428571429,
UserID 5085, TagginSession 4, STD 3.49106001094, mean 5.25,
UserID 5494, TagginSession 2, STD 2.5, mean 3.5,
UserID 5621, TagginSession 5, STD 13.8910042833, mean 14.2,
UserID 5706, TagginSession 10, STD 3.83275357935, mean 5.1,
UserID 5899, TagginSession 3, STD 3.77123616633, mean 3.66666666667,
UserID 5954, TagginSession 2, STD 4.0, mean 14.0,
UserID 6082, TagginSession 17, STD 3.27304182194, mean 3.58823529412,
UserID 6352, TagginSession 97, STD 5.19908671885, mean 1.9793814433,
UserID 6375, TagginSession 2, STD 26.5, mean 39.5,
UserID 6385, TagginSession 24, STD 11.5190060335, mean 6.25,
UserID 6757, TagginSession 6, STD 8.62972897733, mean 6.83333333333,
UserID 6758, TagginSession 10, STD 16.6661333248, mean 12.8,
UserID 7172, TagginSession 3, STD 4.49691252108, mean 8.33333333333,
UserID 7252, TagginSession 4, STD 8.8140512819, mean 11.25,
UserID 7287, TagginSession 7, STD 5.49953615855, mean 3.57142857143,
UserID 7695, TagginSession 2, STD 4.5, mean 5.5,
UserID 7743, TagginSession 4, STD 5.06828373318, mean 4.25,
